reel1,reel2,reel3,reel4,reel5
Q,Q,J,M2,P3
K,M1,K,M1,P3
P1,J,M1,Q,Q
M1,P2,J,Q,M3
A,W,J,Q,Q
A,K,M3,M2,M2
M3,M3,P1,K,J
J,M1,A,W,P3
J,J,A,J,A
M1,J,M2,P3,K
J,K,Q,J,M1
P1,J,J,K,M1
J,K,K,W,M3
J,M2,K,A,A
M3,K,M3,P1,M1
S,Q,Q,M2,J
Q,Q,K,A,A
A,A,S,M1,Q
Q,S,Q,K,P2
J,M3,A,P2,A
P3,M3,P2,P3,M1
M1,A,M2,P3,Q
M2,M2,Q,P2,J
K,A,J,M3,K
M1,M2,M1,M1,P1
M3,P3,P1,Q,J
A,A,M3,J,J
Q,Q,W,J,M2
P2,M1,A,K,A
P3,P3,Q,J,P1
P3,J,M3,K,K
M3,P2,P2,A,J
P2,M1,P3,A,M3
K,M3,K,M3,Q
A,W,A,M1,Q
J,Q,A,P1,K
K,A,M1,S,A
M3,P1,P3,A,Q
M2,A,W,Q,P2
Q,P3,K,J,J
M2,Q,Q,Q,P2
K,M2,M2,M2,M3
P2,K,M2,K,K
K,P1,W,M3,M2
A,K,M1,M3,K
Q,J,J,A,M2
M2,,,,M3
Q,,,,S
