simulation,weight,payoutMultiplier
1,1.000004,0.022
2,1.000004,0.1317
3,1.000002,0.5488
4,1.000004,0.0
5,1.000002,0.6147
6,1.000004,0.0
7,0.999995,2.1228
8,1.000004,0.0
9,1.000004,0.0
10,1.000004,0.0132
11,1.000004,0.0
12,1.000004,0.0
13,1.000003,0.1932
14,1.000003,0.3337
15,1.000004,0.0
16,1.000004,0.0439
17,1.000004,0.1317
18,1.000003,0.1712
19,1.000004,0.0878
20,1.000003,0.1932
21,1.000003,0.1756
22,1.000004,0.0
23,1.000004,0.0
24,1.000004,0.0
25,1.000004,0.0
26,1.000004,0.0702
27,1.000004,0.0329
28,1.000004,0.0
29,1.000004,0.0
30,1.000001,0.7903
31,1.000004,0.0
32,1.000003,0.3512
33,1.000004,0.0
34,0.999998,1.5366
35,1.000004,0.0
36,1.000004,0.0
37,1.000004,0.0
38,1.000004,0.0
39,1.000004,0.0
40,1.000002,0.4961
41,1.000003,0.3425
42,1.000002,0.4259
43,1.000004,0.1317
44,1.000004,0.0
45,1.000004,0.0
46,1.000004,0.0
47,1.000004,0.0
48,1.000004,0.0
49,1.000004,0.0
50,1.000004,0.0
51,1.000004,0.0
52,1.000004,0.1317
53,1.0,1.08
54,1.000004,0.0
55,1.000004,0.0702
56,1.000002,0.439
57,1.000004,0.0
58,1.000001,0.7859
59,1.000004,0.0
60,1.000004,0.0263
61,1.000003,0.2195
62,1.000001,0.6586
63,1.000004,0.0
64,1.000004,0.0
65,0.999994,2.305
66,1.000004,0.011
67,1.000004,0.0
68,1.000004,0.0176
69,1.000004,0.0
70,1.000004,0.0439
71,1.000002,0.4061
72,1.000004,0.1317
73,1.000004,0.0
74,1.000004,0.0
75,0.999998,1.4159
76,1.000004,0.022
77,1.000004,0.0
78,0.999996,1.9406
79,1.000003,0.2722
80,1.000004,0.0
81,1.000002,0.4566
82,1.000003,0.2151
83,1.000004,0.0351
84,0.999999,1.2732
85,1.000004,0.0351
86,1.000003,0.2327
87,1.000004,0.0
88,0.999998,1.3435
89,1.000004,0.011
90,1.000003,0.3512
91,1.000004,0.0702
92,1.000004,0.0439
93,1.000004,0.0
94,1.000004,0.0
95,1.000002,0.4215
96,1.000004,0.0
97,1.000004,0.0
98,1.000003,0.18
99,1.000004,0.0
100,1.000004,0.0
101,1.000004,0.0
102,0.999957,10.8619
103,1.000004,0.0
104,0.999999,1.1788
105,1.000004,0.0132
106,1.000004,0.0
107,1.000002,0.4303
108,1.000004,0.0
109,1.000004,0.0878
110,1.000002,0.4873
111,1.000004,0.0439
112,1.000003,0.2634
113,1.000004,0.0
114,1.000004,0.1405
115,1.000002,0.3951
116,1.000004,0.0
117,1.000004,0.0
118,0.999998,1.383
119,1.000004,0.0
120,0.999967,8.4735
121,1.000004,0.1317
122,1.000004,0.0
123,1.0,0.9176
124,1.000004,0.0
125,0.999987,4.0216
126,1.000004,0.1317
127,1.000004,0.0
128,1.000002,0.439
129,0.999996,1.7781
130,1.000004,0.0
131,1.000004,0.0351
132,1.000004,0.0878
133,1.000004,0.0922
134,1.000004,0.0
135,1.000002,0.4083
136,1.000004,0.0615
137,1.000003,0.1668
138,1.000004,0.0
139,1.000004,0.0
140,1.000004,0.0
141,1.000004,0.0
142,1.000004,0.0
143,1.000004,0.0
144,0.999989,3.6045
145,1.000004,0.1098
146,1.000004,0.0
147,1.000004,0.022
148,1.000004,0.0132
149,1.000004,0.0
150,1.000004,0.0439
151,1.000004,0.0
152,0.999999,1.2732
153,1.000004,0.0
154,1.000004,0.0
155,1.000003,0.2107
156,0.999985,4.3904
157,0.999966,8.8532
158,0.999998,1.4752
159,1.000004,0.0
160,1.000002,0.5268
161,1.000003,0.2327
162,1.000003,0.1888
163,1.000001,0.641
164,1.000004,0.0
165,1.000004,0.0
166,1.000004,0.1317
167,1.000002,0.5949
168,1.000004,0.0
169,1.000004,0.0
170,1.000004,0.0176
