simulation,weight,payoutMultiplier
1,1.001789,3.2445
2,1.001867,1.091
3,1.001722,5.0753
4,1.001546,9.9508
5,1.001772,3.6923
6,1.001011,24.7223
7,1.001318,16.2357
8,1.00177,3.7516
9,1.001303,16.6484
10,1.001411,13.6541
11,1.00179,3.216
12,1.001464,12.2075
13,1.001563,9.4701
14,1.001476,11.8804
15,1.001585,8.8532
16,1.001763,3.9536
17,1.00168,6.2453
18,1.00179,3.2028
19,1.001521,10.6204
20,1.001192,19.7107
21,1.001767,3.8504
22,1.001738,4.6363
23,1.001856,1.3786
24,1.00125,18.1016
25,1.00153,10.3701
26,1.001738,4.6406
27,1.001745,4.4519
28,1.00173,4.8536
29,1.00132,16.1698
30,1.001647,7.152
31,1.001595,8.5986
32,1.001775,3.6309
33,1.00153,10.3811
34,1.000772,31.3145
35,1.001261,17.8206
36,1.000468,39.7046
37,1.001704,5.589
38,1.001818,2.4213
39,0.975657,734.0705
40,1.00159,8.7369
41,0.995065,189.4436
42,1.001508,10.9936
43,1.001816,2.4718
44,1.001546,9.9333
45,1.001697,5.7668
46,0.990584,314.2384
47,1.001847,1.6288
48,0.971534,851.1601
49,0.958058,1237.388
50,1.001077,22.8981
51,1.001727,4.9304
52,0.980215,605.2094
53,1.001653,6.9983
54,1.001039,23.943
55,1.001729,4.8821
56,1.001762,3.9689
57,1.001329,15.924
58,1.001451,12.5719
59,1.001469,12.0714
60,1.001476,11.8848
61,1.00166,6.7919
62,1.001834,1.9932
63,1.001576,9.1035
64,1.001695,5.8261
65,1.001581,8.9784
66,1.001248,18.1587
67,1.001034,24.0638
68,1.0016,8.4515
69,1.001622,7.85
70,1.001209,19.2563
71,1.001406,13.81
72,1.000912,27.4576
73,1.001794,3.0865
74,1.001716,5.2553
75,1.001384,14.4159
76,1.000961,26.0899
77,1.001758,4.094
78,1.001806,2.7594
79,1.001676,6.3419
80,0.993533,232.0568
81,1.001659,6.8249
82,1.001622,7.8347
83,1.001604,8.333
84,1.00173,4.8514
85,1.000431,40.7341
86,1.001713,5.3212
87,1.001517,10.7345
88,0.996655,145.3091
89,1.001536,10.2165
90,1.001576,9.1189
91,1.001561,9.5184
92,1.001794,3.0974
93,1.001284,17.1621
94,1.001484,11.6587
95,1.001573,9.1869
96,1.001737,4.6582
97,0.963595,1078.0448
98,1.000918,27.2863
99,1.001759,4.0523
100,1.001712,5.3519
101,1.001593,8.6293
102,1.001868,1.0493
103,1.001664,6.6756
104,1.000556,37.2789
105,1.001693,5.8787
106,1.000774,31.2465
107,1.001582,8.9564
108,1.00176,4.0392
109,1.001765,3.8877
110,1.001897,0.2546
111,1.001261,17.7943
112,1.001625,7.7644
113,1.001815,2.5069
114,1.001547,9.9179
115,1.001857,1.361
116,1.001604,8.333
117,1.001407,13.7836
118,1.001403,13.8934
119,1.001709,5.4287
120,1.001269,17.5814
121,0.948487,1514.9816
122,1.001794,3.1018
123,0.9904,319.364
124,1.001744,4.476
125,1.001778,3.5343
126,1.001061,23.3438
127,1.001798,2.9899
128,1.001432,13.09
129,1.001372,14.7408
130,1.001756,4.1511
131,1.001817,2.4674
132,1.001859,1.2908
133,1.001739,4.6231
134,1.001657,6.8622
135,1.001119,21.7237
136,1.00093,26.9636
137,1.000989,25.3326
138,1.000867,28.6978
139,1.001771,3.7406
140,1.001138,21.1946
141,1.001783,3.407
142,0.998203,102.3951
143,1.001291,16.9843
144,0.938902,1795.8426
145,1.001513,10.8531
146,1.001792,3.1479
147,1.000619,35.5403
148,1.000954,26.2765
149,0.994009,218.8
150,1.000881,28.2917
151,1.001611,8.1574
152,1.001483,11.6872
153,1.001745,4.4431
154,1.001688,6.0148
155,1.001811,2.6255
156,1.000813,30.1686
157,1.001165,20.4702
158,1.001632,7.5778
159,1.001673,6.4407
160,1.001762,3.9865
161,1.001855,1.4137
162,1.0017,5.69
163,1.001852,1.4861
164,1.000305,44.2245
165,1.001575,9.1276
166,1.001549,9.8499
167,1.001778,3.5211
168,0.999495,66.6331
169,1.001609,8.1881
170,1.000581,36.5984
171,1.001757,4.1226
172,1.00187,0.9988
173,1.001714,5.2882
174,1.001643,7.2595
175,1.001604,8.3461
176,1.001389,14.2688
177,1.001087,22.6193
178,1.001419,13.4522
179,1.001778,3.5299
180,1.001869,1.0317
181,1.001002,24.9528
182,1.001045,23.763
183,1.001757,4.1072
184,1.001616,8.0037
185,1.00104,23.9013
186,1.00135,15.3466
187,1.001509,10.9584
188,1.001054,23.5369
189,1.001837,1.9098
190,1.001615,8.0235
191,1.001573,9.1979
192,1.000831,29.6835
193,1.00181,2.6606
194,1.001719,5.1741
195,1.001246,18.2267
196,1.001781,3.4509
197,1.001811,2.632
198,1.001793,3.1216
199,1.001672,6.4671
200,1.001376,14.6398
201,1.001764,3.9206
202,1.001333,15.8274
203,1.001801,2.8933
204,1.001754,4.1972
205,1.001558,9.615
206,1.001485,11.6192
207,1.001513,10.8487
208,1.001819,2.4103
209,1.001758,4.0919
210,1.0015,11.2087
211,1.001766,3.8526
212,1.001466,12.157
213,1.001385,14.3917
214,1.001005,24.865
215,0.99999,52.9197
216,1.001833,2.0218
217,1.001776,3.5826
218,1.001827,2.1711
219,1.001687,6.0412
220,1.00183,2.0942
221,1.001588,8.7764
222,1.001784,3.3806
223,1.000653,34.6029
224,0.999708,60.7193
225,1.001736,4.6802
226,0.99506,189.5949
227,0.999438,68.1917
228,1.000735,32.3331
229,1.001328,15.9679
230,1.001452,12.528
231,1.00163,7.6261
232,1.00072,32.7524
233,1.001769,3.7779
234,1.00174,4.5924
235,1.001145,21.0015
236,1.001691,5.949
237,1.001638,7.3978
238,0.948935,1501.9336
239,1.00179,3.2138
240,1.001465,12.1812
241,1.001701,5.6592
242,1.001466,12.157
243,1.001671,6.4934
244,1.001824,2.2545
245,1.001844,1.7254
246,1.001742,4.5287
247,1.001756,4.1336
248,1.001825,2.2391
249,1.00174,4.5858
250,1.001698,5.747
251,1.001665,6.6624
252,0.999033,79.4135
253,1.001824,2.2523
254,0.969675,904.1192
255,1.001644,7.2244
256,1.001474,11.9287
257,1.001622,7.8412
258,1.001505,11.0638
259,1.001677,6.32
260,1.000713,32.9587
261,1.001095,22.3844
262,1.001619,7.9181
263,1.001768,3.7977
264,1.001096,22.3669
265,1.000728,32.5241
266,1.001845,1.6727
267,1.001777,3.5628
268,1.001808,2.7177
269,1.001431,13.1141
270,1.000807,30.353
271,1.001578,9.0552
272,1.001649,7.0905
273,1.001587,8.8115
274,1.001567,9.3691
275,1.001621,7.8698
276,1.001731,4.8272
277,1.001593,8.6315
278,1.001604,8.3308
279,1.001814,2.5508
280,0.991338,293.2085
281,1.001702,5.6285
282,1.00156,9.5447
283,0.971062,864.6058
284,1.001586,8.8379
285,1.001773,3.666
286,1.000981,25.5433
287,1.001642,7.2815
288,1.001561,9.5118
289,0.923972,2239.0556
290,1.001164,20.4812
291,1.001506,11.0418
292,1.00155,9.8367
293,1.001639,7.3583
294,1.001253,18.0314
295,1.00098,25.5806
296,1.001204,19.3726
297,1.001127,21.5173
298,1.001297,16.8152
299,1.001776,3.5848
300,1.001559,9.593
301,1.001714,5.2882
302,1.001673,6.4319
303,1.001851,1.5103
304,1.001795,3.0667
305,1.000164,48.1055
306,1.001796,3.0469
307,1.001474,11.9331
308,1.001717,5.2048
309,1.00182,2.362
310,1.001416,13.5224
311,1.001296,16.846
312,1.001379,14.5586
313,1.001684,6.1356
314,1.001556,9.6523
315,1.001792,3.1347
316,1.001553,9.7511
317,1.001313,16.3586
318,1.001641,7.3254
319,1.001149,20.8983
320,1.001885,0.5817
321,1.001568,9.3208
322,1.001796,3.025
323,1.001824,2.272
324,1.000463,39.8494
325,1.001783,3.385
326,1.00175,4.3004
327,1.001836,1.9208
328,1.001769,3.7823
329,1.001847,1.6266
330,1.001779,3.497
331,0.999797,58.2782
332,1.001313,16.363
333,0.999995,52.7923
334,0.972826,814.4098
335,1.001746,4.4123
336,1.000871,28.5793
337,1.001693,5.8809
338,1.000727,32.5592
339,1.001621,7.8632
340,0.996562,147.8686
341,1.001614,8.052
342,1.001697,5.7624
343,1.001749,4.3421
344,1.001525,10.5062
345,1.001061,23.3218
346,1.001473,11.9551
347,1.001675,6.3814
348,1.001831,2.081
349,1.001755,4.1665
350,1.001662,6.7305
351,1.001784,3.363
352,1.001606,8.2891
353,1.001218,19.0038
354,1.001644,7.231
355,1.001434,13.0351
356,1.001738,4.6341
357,1.001866,1.1152
358,1.001666,6.6163
359,1.001894,0.3381
360,1.001864,1.1591
361,0.971133,862.5774
362,1.000912,27.451
363,1.001759,4.0721
364,1.001775,3.6111
365,1.001209,19.2343
366,1.001441,12.8441
367,1.001764,3.9338
368,1.001489,11.505
369,1.000397,41.6737
370,1.001754,4.1884
371,1.00167,6.5241
372,1.001674,6.4166
373,1.001796,3.025
374,1.000908,27.5498
375,1.00106,23.3679
376,1.00125,18.1016
377,1.0017,5.6768
378,1.001886,0.5664
379,1.00144,12.8661
380,1.001273,17.465
381,1.001619,7.9225
382,1.001701,5.6636
383,1.00168,6.2475
384,1.001149,20.9093
385,1.001664,6.6712
386,1.001647,7.1432
387,1.000595,36.2032
388,1.001699,5.7207
389,1.00119,19.7656
390,1.001148,20.9203
391,1.001646,7.1827
392,1.001829,2.1337
393,1.001103,22.1803
394,1.000256,45.5877
395,1.001617,7.9708
396,1.001823,2.2962
397,1.001831,2.0701
398,0.997864,111.7884
399,1.001657,6.8754
400,1.001806,2.7703
401,1.001689,6.0017
402,1.000793,30.7328
403,1.001858,1.3391
404,1.000076,50.5489
405,1.001651,7.0334
406,1.001452,12.5302
407,0.999389,69.5417
408,1.001435,13.0088
409,1.001703,5.6021
410,1.001675,6.3858
411,1.001783,3.3916
412,1.001716,5.2531
413,1.00147,12.0297
414,1.001526,10.4843
415,1.001481,11.7399
416,1.001756,4.1379
417,1.001658,6.8402
418,1.000464,39.8275
419,1.001856,1.3874
420,1.00176,4.026
421,1.001532,10.3174
422,0.906691,2761.0953
423,1.001692,5.9205
424,1.001777,3.5628
425,1.00072,32.7458
426,1.001516,10.7543
427,1.001442,12.809
428,1.001687,6.0368
429,1.001524,10.5348
430,1.001388,14.2995
431,1.001584,8.8796
432,1.001667,6.5944
433,1.001743,4.5067
434,1.001399,14.0054
435,1.001704,5.5758
436,1.001665,6.6602
437,1.001752,4.2565
438,1.001243,18.2992
439,1.001338,15.6781
440,1.00135,15.3576
441,1.001481,11.7443
442,1.001561,9.5294
443,1.000869,28.6386
444,1.001437,12.9517
445,1.001689,6.0017
446,1.0017,5.6987
447,0.973117,806.1342
448,1.001535,10.2494
449,1.001645,7.209
450,1.00078,31.0972
451,1.000044,51.4357
452,1.001721,5.1104
453,1.001594,8.6052
454,1.001743,4.4936
455,1.001658,6.8424
456,1.001814,2.5289
457,1.001809,2.6913
458,1.001632,7.5515
459,1.001623,7.8193
460,1.001842,1.7649
461,1.001269,17.5835
462,1.001381,14.4971
463,0.999876,56.0917
464,1.001359,15.1095
465,1.001752,4.2477
466,1.000722,32.7041
467,1.001692,5.8963
468,1.001547,9.9245
469,1.001029,24.2152
470,1.001742,4.5177
471,1.001774,3.6572
472,1.001853,1.4598
473,1.001244,18.2641
474,1.001491,11.4611
475,1.001678,6.3046
476,1.000905,27.6442
477,1.00165,7.0773
478,1.000488,39.1492
479,1.001665,6.6624
480,0.961139,1148.6031
481,1.001613,8.0871
482,1.001881,0.7025
483,1.001516,10.7762
484,1.001134,21.3154
485,1.001582,8.9323
486,1.001768,3.7977
487,0.993334,237.5733
488,1.001664,6.669
489,1.00073,32.4692
490,1.001422,13.3688
491,1.001562,9.4899
492,1.001742,4.5353
493,1.001805,2.7813
494,1.001788,3.2555
495,1.001663,6.7173
496,1.001832,2.0459
497,1.001245,18.2487
498,1.001824,2.2654
499,1.001171,20.2815
500,1.001204,19.3748
501,1.0013,16.7186
502,1.001763,3.9492
503,1.000805,30.3991
504,1.001345,15.4762
505,1.001739,4.6011
506,1.001717,5.207
507,1.001775,3.6265
508,1.001671,6.4912
509,1.001675,6.3749
510,0.983402,515.4284
511,1.001673,6.421
512,1.001611,8.1464
513,1.001708,5.4573
514,1.001192,19.7041
515,1.00153,10.3833
516,1.001173,20.2507
517,1.001311,16.4179
518,1.001883,0.6498
519,1.001672,6.4495
520,1.0017,5.6746
521,0.983391,515.7403
522,1.001474,11.9177
523,1.001767,3.8306
524,0.949256,1492.5867
525,1.001744,4.4782
526,0.956632,1278.5632
527,1.000655,34.5371
528,1.001665,6.658
529,1.000697,33.3956
530,1.000255,45.6163
531,1.001482,11.6938
532,1.001441,12.8507
533,1.00157,9.2879
534,1.001689,5.9929
535,1.001706,5.5231
536,0.973615,792.0104
537,1.000924,27.1261
538,1.001703,5.6153
539,0.999992,52.8626
540,1.001176,20.1651
541,1.001114,21.8554
542,0.989291,350.3582
543,1.000922,27.17
544,1.001785,3.3323
545,1.001396,14.0866
546,1.001779,3.4991
547,1.001702,5.6219
548,1.001543,10.0211
549,1.001555,9.6808
550,1.001628,7.6788
551,1.001674,6.3968
552,1.001859,1.3039
553,1.001688,6.0061
554,1.00166,6.7985
555,1.001217,19.0214
556,1.001879,0.742
557,1.001798,2.9767
558,1.001818,2.4411
559,1.001745,4.4409
560,1.001769,3.7801
561,1.001611,8.1442
562,1.001087,22.6237
563,1.001754,4.2104
564,1.001599,8.4822
565,0.98582,447.5464
566,1.001506,11.055
567,1.00164,7.3495
568,1.001323,16.093
569,1.001546,9.9289
570,1.001611,8.1332
571,1.001831,2.081
572,1.000577,36.7037
573,1.001323,16.0864
574,1.001764,3.9294
575,1.000543,37.6345
576,1.001839,1.8396
577,1.001551,9.7972
578,1.001594,8.6184
579,1.001772,3.6967
580,1.001397,14.0405
581,1.001488,11.5336
582,1.001811,2.6211
583,0.983953,499.9674
584,1.00151,10.9321
585,1.001755,4.1753
586,1.001141,21.1222
587,1.001858,1.3347
588,1.001734,4.7614
589,1.00156,9.5579
590,1.001589,8.7479
591,1.001889,0.472
592,1.001673,6.4297
593,1.0017,5.6987
594,1.001824,2.2676
595,1.001864,1.1613
596,1.001607,8.2627
597,1.001552,9.7818
598,1.001107,22.0661
599,1.001657,6.8622
600,1.000965,25.9824
601,1.001717,5.229
602,1.001806,2.7616
603,1.001817,2.4564
604,1.00186,1.2644
605,1.001829,2.1315
606,1.001463,12.2382
607,1.001676,6.3441
608,1.001783,3.3828
609,1.000807,30.3486
610,1.001452,12.5258
611,0.998001,107.9775
612,1.001703,5.6022
613,1.001605,8.311
614,1.00155,9.8169
615,1.001705,5.5604
616,1.000986,25.3963
617,1.001652,7.0159
618,1.001583,8.9059
619,1.001709,5.4419
620,1.001592,8.6776
621,1.000933,26.8539
622,1.001747,4.3794
623,1.000741,32.1816
624,1.001655,6.9237
625,1.001755,4.1643
626,0.977639,677.9674
627,1.00163,7.6195
628,1.001773,3.666
629,1.001791,3.1721
630,1.001324,16.0711
631,1.001465,12.1636
632,1.000853,29.0842
633,0.998929,82.2805
634,1.001715,5.286
635,1.001649,7.0971
636,1.001781,3.4596
637,1.001649,7.0949
638,1.001695,5.8129
639,1.001244,18.2794
640,1.000989,25.3084
641,1.000399,41.6342
642,1.001544,10.0057
643,1.001593,8.6315
644,1.001525,10.5106
645,1.001613,8.0915
