simulation,weight,payoutMultiplier
1,0.996598,315.4107
2,0.994564,34.087
3,1.004254,1369.4885
4,0.994434,16.0579
5,1.013153,2584.6718
6,1.002819,1172.6032
7,0.999559,724.0225
8,0.994581,36.3723
9,0.995271,131.9117
10,1.002887,1181.9436
11,0.994367,6.7788
12,0.994391,10.0474
13,1.011667,2382.595
14,1.000564,862.5203
15,0.997485,438.0236
16,0.994468,20.7227
17,1.003337,1243.7036
18,1.033563,5331.9824
19,0.995367,145.1641
20,0.998587,590.1005
21,1.001087,934.5223
22,1.002467,1124.2578
23,1.004401,1389.68
24,1.00312,1213.941
25,1.000682,878.7297
26,0.999263,683.3567
27,0.998988,645.3624
28,1.000498,853.3618
29,0.994481,22.5096
30,0.994484,22.953
31,0.994398,11.0484
32,1.001993,1059.1444
33,0.994598,38.7672
34,0.996736,334.4626
35,1.017841,3220.5642
36,1.009792,2127.0212
37,1.001004,923.037
38,1.005172,1495.4204
39,0.994817,69.0324
40,0.997211,400.1408
41,1.005988,1607.2241
42,0.996068,242.198
43,0.994717,55.1786
44,0.996089,245.0501
45,0.994584,36.8618
46,1.00702,1748.4633
47,0.99452,28.0107
48,0.998983,644.7389
49,0.99599,231.4114
50,1.006461,1671.9606
51,0.994387,9.5096
52,0.994936,85.5557
53,1.02179,3753.9716
54,1.002301,1101.437
55,1.010002,2155.6424
56,1.00448,1400.4759
57,1.000098,798.2931
58,0.994558,33.1673
59,1.01184,2406.0708
60,1.008786,1989.7198
61,1.017738,3206.7018
62,0.996115,248.6546
63,0.994382,8.7764
64,0.999379,699.3335
65,0.994475,21.6798
66,0.994932,84.9542
67,0.995022,97.5261
68,0.999534,720.6796
69,1.004028,1338.558
70,0.99502,97.1771
71,0.998807,620.4639
72,0.996205,261.1211
73,1.009312,2061.5494
74,0.99694,362.6689
75,1.005241,1504.8314
76,0.994983,92.0534
77,1.000485,851.5663
78,0.995637,182.5527
79,1.000533,858.2178
80,0.996262,269.07
81,1.00639,1662.1435
82,0.998927,637.0291
83,1.007248,1779.598
84,1.007305,1787.4436
85,1.00177,1028.4644
86,0.994493,24.1648
87,0.999553,723.2876
88,0.997022,373.9807
89,0.994523,28.3488
90,1.003343,1244.5287
91,0.999843,763.2621
92,0.994392,10.1682
93,0.995499,163.4766
94,0.997189,397.1464
95,1.020439,3571.7833
96,1.005041,1477.4044
97,1.00957,2096.7584
98,1.005662,1562.5865
99,0.99671,330.9679
100,0.994435,16.2225
101,0.99483,70.9401
102,1.004819,1446.9766
103,1.03225,5156.821
104,1.007335,1791.507
105,0.998643,597.7835
106,1.011217,2321.244
107,0.995691,190.0516
108,0.998783,617.1759
109,0.998701,605.84
110,1.000359,834.2287
111,0.994479,22.211
112,0.995796,204.5662
113,0.99664,321.1972
114,1.009098,2032.3159
115,1.004639,1422.3707
116,1.003742,1299.3736
117,0.99683,347.4517
118,0.994927,84.344
119,0.99606,241.0593
120,0.997203,399.0104
121,0.996981,368.3102
122,0.994678,49.8662
123,0.99843,568.4357
124,0.995419,152.4676
125,0.99441,12.7102
126,0.99757,449.783
127,0.996704,330.0659
128,1.001368,973.165
129,0.994609,40.2709
130,1.006444,1669.6514
131,1.002196,1087.0321
132,0.997809,482.7639
133,1.001504,991.8657
134,0.995538,168.9206
135,0.998965,642.1749
136,0.995038,99.6774
137,0.99825,543.5664
138,0.994515,27.2073
139,0.998521,580.9854
140,1.000891,907.5834
141,0.995692,190.1393
142,0.997277,409.2401
143,0.996442,293.9064
144,1.010156,2176.6941
145,1.01399,2698.4181
146,0.997608,454.9684
147,0.996389,286.5345
148,0.99792,497.9831
149,0.997503,440.5019
150,0.99446,19.7107
151,1.006726,1708.1158
152,1.004024,1338.0594
153,0.994377,8.1244
154,1.000425,843.3342
155,0.996022,235.7842
156,0.994457,19.1816
157,1.003895,1320.2808
158,0.994995,93.7614
159,0.995683,188.9143
160,1.010124,2172.326
161,0.994699,52.7616
162,0.999974,781.2516
163,1.013756,2666.7442
164,0.994451,18.4002
165,0.996513,303.7321
166,0.996556,309.7096
167,0.994467,20.6041
168,1.001913,1048.1553
169,0.999407,703.1706
170,0.996373,284.3113
171,0.996039,238.1199
172,0.994361,5.9029
173,0.997965,504.2242
174,0.99994,776.5471
175,0.997782,479.0188
176,0.996172,256.5486
177,0.99912,663.5517
178,1.003419,1254.987
179,0.994444,17.4782
180,1.000849,901.7134
181,0.99451,26.5422
182,0.998833,623.9565
183,0.994418,13.8232
184,0.997531,444.3479
185,1.001749,1025.606
186,0.99744,431.8001
187,0.999071,656.8652
188,1.0002,812.3818
189,1.004299,1375.7203
190,1.017827,3218.7245
191,0.996059,240.8858
192,0.999707,744.4318
193,0.995561,171.9936
194,1.006561,1685.5666
195,0.994391,10.0847
196,0.998123,526.1147
197,0.996628,319.599
198,0.994602,39.3336
199,0.999668,739.0931
200,0.999557,723.8452
201,1.014051,2706.7956
202,0.998468,573.654
203,0.99491,81.8985
204,0.994381,8.7105
205,0.994366,6.5724
206,0.995705,191.9307
207,0.99494,86.1482
208,0.996496,301.3569
209,1.007452,1807.4878
210,1.018955,3371.2384
211,0.998169,532.393
212,1.004456,1397.2928
213,1.013775,2669.2661
214,0.994543,31.1345
215,1.011411,2347.6605
216,0.998228,540.5042
217,0.994522,28.2478
218,1.002687,1154.4512
219,1.02002,3515.1157
220,1.002734,1160.9356
221,0.996603,316.2096
222,0.994819,69.4036
223,0.994385,9.1869
224,1.000714,883.0892
225,0.997014,372.9292
226,1.001518,993.7318
227,1.009981,2152.8126
228,1.004783,1442.1187
229,0.99448,22.3471
230,0.99987,766.871
231,0.995974,229.1437
232,0.995444,155.8415
233,1.006522,1680.2586
234,0.997157,392.7058
235,0.995485,161.4787
236,0.994686,50.922
237,0.99878,616.7324
238,0.997408,427.3462
239,0.994361,5.8612
240,1.012284,2466.4734
241,0.996668,325.1462
242,0.995574,173.8553
243,0.994378,8.3066
244,0.995577,174.2021
245,0.995743,197.2299
246,0.99787,491.1737
247,0.994597,38.5477
248,1.001988,1058.4549
249,0.995915,221.0609
250,0.994877,77.418
251,0.998413,566.0958
252,0.994391,10.0935
253,0.998308,551.6383
254,0.995092,107.1036
255,1.00204,1065.5324
256,0.994804,67.3333
257,1.004069,1344.1821
258,1.020985,3645.4674
259,0.995049,101.1372
260,0.99965,736.6652
261,0.995938,224.2131
262,0.994371,7.2508
263,0.995973,228.9987
264,1.002073,1070.1335
265,0.996098,246.3717
266,1.001166,945.3798
267,1.000662,875.9988
268,1.018055,3249.6018
269,0.994461,19.7941
270,0.998961,641.6855
271,0.994638,44.2377
272,0.994332,1.8527
273,1.01057,2233.1235
274,0.994451,18.3431
275,0.997581,451.2519
276,1.00303,1201.6171
277,0.99472,55.7185
278,0.994846,73.1177
279,0.998431,568.5631
280,0.999089,659.3016
281,0.994382,8.8006
282,0.994802,67.0458
283,0.995951,226.0331
284,0.994545,31.4572
285,0.999049,653.7305
286,0.9966,315.6652
287,0.994334,2.1645
288,0.998609,593.0815
289,1.004526,1406.8946
290,0.999261,682.9528
291,0.994507,26.2041
292,1.00488,1455.3582
293,0.999422,705.2451
294,0.994596,38.4379
295,1.008873,2001.6687
296,1.001213,951.7944
297,0.996036,237.8039
298,0.998667,601.1204
299,0.999591,728.5606
300,0.999151,667.861
301,0.999929,775.092
302,0.997129,388.8335
303,0.99463,43.1379
304,0.995614,179.3588
305,0.994787,64.9692
306,1.002024,1063.3459
307,0.996489,300.3448
308,0.99514,113.8452
309,1.001278,960.8037
310,1.002905,1184.3653
311,0.995465,158.7393
312,1.013168,2586.8298
313,0.994733,57.5121
314,0.99779,480.0461
315,1.001072,932.4591
316,0.997679,464.7501
317,0.995757,199.1968
318,1.005303,1513.2936
319,0.999552,723.0943
320,0.998483,575.7943
321,1.038195,5947.8807
322,0.994361,5.8831
323,0.994379,8.4691
324,1.0002,812.3819
325,0.9967,329.4995
326,0.995934,223.5921
327,0.994462,19.9544
328,1.001546,997.6303
329,1.01519,2861.3394
330,0.994442,17.2104
331,0.9947,52.878
332,0.994763,61.5644
333,0.999257,682.5346
334,1.004962,1466.6608
335,0.999088,659.1351
336,1.002643,1148.4496
337,0.996284,272.0599
338,0.996456,295.8206
339,0.998308,551.6536
340,1.005876,1591.7967
341,0.997923,498.4619
342,0.994424,14.6881
343,0.999021,649.8799
344,0.994552,32.3967
345,0.997295,411.7229
346,0.994411,12.8792
347,0.994437,16.4289
348,0.995646,183.8523
349,0.994744,58.9521
350,1.003709,1294.7462
351,1.002494,1127.9176
352,1.004243,1368.0351
353,0.998083,520.5609
354,0.994503,25.5741
355,1.003603,1280.166
356,0.996158,254.6826
357,0.9957,191.2984
358,1.00396,1329.2243
359,1.000442,845.7574
360,0.996267,269.7263
361,0.997928,499.2147
362,1.002018,1062.4941
363,1.006011,1610.3766
364,1.010991,2290.5329
365,0.997372,422.4308
366,1.002295,1100.6463
367,0.998934,637.8721
368,0.994865,75.7146
369,0.99484,72.2857
370,1.000318,828.6723
371,0.997776,478.2045
372,1.021339,3693.2084
373,0.99884,624.9075
374,0.994406,12.1592
375,0.994406,12.1658
376,1.008763,1986.5788
377,0.994392,10.2823
378,0.99801,510.533
379,0.994697,52.4192
380,0.998768,615.0666
381,0.996131,250.8849
382,0.994539,30.5177
383,1.012506,2496.6879
384,0.994533,29.7208
385,0.999351,695.36
386,0.998875,629.8508
387,0.994995,93.7657
388,0.995016,96.6084
389,1.004004,1335.2167
390,1.01016,2177.2645
391,0.999365,697.4194
392,0.997245,404.8692
393,0.995742,197.0367
394,0.996828,347.2103
395,0.995726,194.9227
396,0.996272,270.3256
397,0.99644,293.6146
398,0.994522,28.2917
399,0.997827,485.2774
400,1.003385,1250.355
401,0.999868,766.601
402,1.001275,960.314
403,1.012126,2445.0177
404,1.001666,1014.1887
405,0.998979,644.1397
406,0.996273,270.5802
407,0.995301,136.1463
408,0.99935,695.2979
409,1.048144,7261.5149
410,1.007559,1822.1738
411,0.998518,580.6302
412,0.994448,17.9392
413,0.994964,89.4083
414,0.996161,255.0975
415,0.997623,457.0494
416,1.001643,1011.0257
417,0.995379,146.8762
418,0.997851,488.5373
419,0.997162,393.3534
420,0.996417,290.4509
421,0.996179,257.554
422,0.999074,657.1858
423,1.014768,2804.093
424,0.999682,741.0865
425,0.997416,428.4413
426,0.997607,454.8146
427,1.005003,1472.2632
428,1.011884,2412.1336
429,1.001017,924.9167
430,1.004888,1456.5282
431,0.998898,632.9549
432,0.997718,470.2248
433,1.008926,2008.8382
434,1.013372,2614.4433
435,0.994455,18.9358
436,0.998862,627.9501
437,0.995525,167.0239
438,1.002573,1138.808
439,0.996209,261.6347
440,0.99485,73.706
